"resultDate","ipAddress","ipv6 address","country","region","city","latitude","longitude","serverId","serverName","userAgent","connectionType","ispName","ispNameRaw","download (Kbps)","upload (Kbps)","ping (ms)","jitter","testId"
"2025-10-24T15:20:31.000Z","171.225.184.0",,"Vietnam","Da Nang","Tuyen Hoa",16.03,108.22,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","241988.00","n/a",12,2,"18390218-948a-bb8d-ja2b-8jeii4jib2a9"
"2025-10-24T15:19:39.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","317922.00","297398.00",6,1,"18390215-253a-bb8d-ja2b-5cfdd5cfb2a9"
"2025-10-24T15:17:19.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","77498.00","n/a",14,10,"18390205-616a-bb8d-ja2a-5gbgg1gfa2a9"
"2025-10-24T15:11:08.000Z","27.70.152.0",,"Vietnam","Thua Thien Hue","Hương Trà",16.48,107.58,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","15871.00","7506.00",36,31,"18390178-618a-bb8d-ja1h-8gbii1gih1a9"
"2025-10-24T15:09:50.000Z",,"2402:800:6236::","Vietnam","Quang Nam Province","Gia Phuoc",15.63,108.38,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","632295.00","320473.00",4,0,"18390172-901a-bb8d-ja1h-2jabb0jch1a9"
"2025-10-24T15:08:41.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","36380.00","n/a",6,5,"18390167-935a-bb8d-ja1g-7jdff3jhg1a9"
"2025-10-24T15:03:27.000Z",,"2001:ee0:290::","Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","SAFARI","n/a","Vinaphone","VNPT","66006.00","22696.00",39,10,"18390146-063a-bb8d-ja1e-6agdd6age1a9"
"2025-10-24T14:58:13.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","17106.00","15320.00",3,3,"18390123-838a-bb8d-ja1c-3idii3idc1a9"
"2025-10-24T14:58:02.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","309445.00","318886.00",7,0,"18390123-025a-bb8d-ja1c-3acff2adc1a9"
"2025-10-24T14:53:22.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","312011.00","311624.00",4,1,"18390102-778a-bb8d-ja1a-2hhii7hca1a9"
"2025-10-24T14:50:03.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","290849.00","315841.00",11,0,"18390088-344a-bb8d-ja0i-8deee4dii0a9"
"2025-10-24T14:49:45.000Z",,"2401:d800:f5bd::","Vietnam","Ho Chi Minh","Ho Chi Minh City",10.75,106.67,72434,"Tam Ky","SAFARI","n/a","Viettel","Viettel Group","76904.00","19558.00",36,37,"18390087-037a-bb8d-ja0i-7adhh3ahi0a9"
"2025-10-24T14:48:12.000Z","209.58.191.0",,"Hong Kong",,"Hong Kong",22.28,114.15,72434,"Tam Ky","Chrome","n/a","Leaseweb Hong Kong","Leaseweb Hong Kong","181615.00","85468.00",75,0,"18390080-400a-bb8d-ja0i-0eaaa0eai0a9"
"2025-10-24T14:48:06.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","279255.00","30878.00",6,0,"18390080-024a-bb8d-ja0i-0acee2aai0a9"
"2025-10-24T14:42:20.000Z","27.71.162.0",,"Vietnam","Quang Nam Province","Phu Loc",15.8,108.18,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","203611.00","82494.00",7,0,"18390054-709a-bb8d-ja0f-4hajj0hef0a9"
"2025-10-24T14:41:26.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","254393.00","318791.00",6,0,"18390050-868a-bb8d-ja0f-0igii6iaf0a9"
"2025-10-24T14:34:01.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","92481.00","92680.00",3,1,"18390019-454a-bb8d-ja0b-9efee5ejb0a9"
